Abbreviation,Site Name,City,State,Site Location,Latitude,Longitude,Region
BFM,Brewer South Freeport Marine,South Freeport,Maine,"Brewer South Freeport Marine South Freeport, ME",43.8214865,-70.1063945,NA-ET2
PHM,Spring Point Marina,Portland,Maine,Spring Point Marina Maine,43.6489484,-70.2342431,NA-ET2
UNH,University of New Hampshire Coastal Marine Laboratory,New Castle,New Hampshire,University of New Hampshire Coastal Marine Laboratory New Hampshire,33.6953344,-117.7976832,
HSP,Hampton River Marina,Hampton,New Hampshire,Hampton River Marina New Hampshire,42.9005295,-70.8201746,NA-ET2
HCM,Brewer Hawthorne Cove Marina,Salem,Massachusetts,Brewer Hawthorne Cove Marina Massachusetts,42.5225182,-70.8852914,NA-ET2
ROW,Rowes Wharf Marina,Boston,Massachusetts,Rowes Wharf Marina Massachusetts,42.3564529,-71.0527896,NA-ET2
SWM,Sandwich Marina,Sandwich,Massachusetts,Sandwich Marina Massachusetts,41.7698127,-70.5071643,NA-ET2
MMA,Massachusetts Maritime Academy,Buzzards Bay,Massachusetts,Massachusetts Maritime Academy Massachusetts,41.7408213,-70.6248315,NA-ET3
POP,Pope's Island Marina,New Bedford,Massachusetts,Pope's Island Marina Massachusetts,41.6399363,-70.9160007,NA-ET3
TRM,F.L. Tripp & Sons Marina,Westport,Massachusetts,F.L. Tripp & Sons Marina Massachusetts,41.5131447,-71.0802067,NA-ET3
PEW,Port Edgewood Marina,Cranston,Rhode Island,Port Edgewood Marina Rhode Island,38.9246927,-76.9880343,NA-ET3
ALM,Allen Harbor Marina,North Kingstown,Rhode Island,Allen Harbor Marina Rhode Island,41.619687,-71.4138762,NA-ET3
FAD,Fort Adams State Park,Newport,Rhode Island,Fort Adams State Park Rhode Island,41.4790938,-71.3383993,NA-ET3
PTJ,Point Judith Marina,Wakefield,Rhode Island,Point Judith Marina Rhode Island,41.3874856,-71.5198402,NA-ET3
