SpeciesName,BFM,PHM,UNH,HSP,HCM,ROW,SWM,MMA,POP,TRM,PEW,ALM,FAD,PTJ
Codium fragile subsp. fragile,,,,,x,,,x,x,x,,,x,x
Bonnemaisonia hamifera,,,,,,,,,,,,,,
Gracilaria vermiculophylla,,,,,,,,,,,,,,
Grateloupia turuturu,,,,,,x,x,x,,x,,x,x,x
Heterosiphonia japonica,,,,,,,,,,,,,x,
Lomentaria clavellosa,,,,x,,x,,x,,,,,,
Lomentaria orcadensis,,,,,,,x,,,,,,,
Neosiphonia harveyi,x,,x,x,x,,x,x,x,x,x,x,x,x
Melanosiphon intestinalis,,,,x,,,,,,,,,,
Halichondria bowerbanki,x,x,,x,,x,x,x,x,x,,x,x,x
Diadumene lineata,,x,,,x,x,,x,x,x,x,x,,x
Sagartia elegens,,,,,x,,,,,,,,,
Littorina littorea,,,x,x,,,,,,,,,,
Caprella mutica,,x,x,x,x,x,x,x,x,x,,,x,x
Chthamalus fragilis,,,,,,,,,,,,,,
Praunus flexuosus,,x,x,x,x,,,,,,,,x,
Carcinus maenas,x,x,x,x,x,x,x,,,x,x,x,x,x
Hemigrapsus sanguineus,,,,x,x,x,x,x,x,x,x,,x,x
Palaemon elegans,,,,,x,,,,,,,,,
Alcyondium sp.,,,,,,,,,,,,,,
Botryllus schlosseri,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Styela canopus,,,,,,,,x,,x,,,,
Styela clava,,,x,,x,x,x,x,x,x,,x,x,x
Membranipora membranacea,x,x,x,,x,x,x,,,,,,x,
Botrylloides violaceus,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ascidiella aspersa,,x,,,x,x,x,x,x,,,,x,x
Didemnum vexillum,,,x,,x,x,x,x,,x,,,x,x
Bugula neritina,,,,,x,,,,,x,,,x,x
Diplosoma listerianum,,,,,x,,,,,x,,,x,x
